time,IN_A,IN_B,OUT_1,OUT_2
1e-11,0,0,0,0
2e-11,0,0,0,0
3e-11,0,0,0,0
4e-11,0,0,0,0
4.9999999999999995e-11,0,0,0,0
6e-11,0,0,0,0
6.999999999999999e-11,0,0,0,0
8e-11,0,0,0,0
9e-11,0,0,0,0
9.999999999999999e-11,0,0,0,0
1.1e-10,0,0,0,0
1.2e-10,0,0,0,0
1.3e-10,0,0,0,0
1.3999999999999998e-10,0,0,0,0
1.5e-10,0,0,0,0
1.6e-10,0,0,0,0
1.6999999999999998e-10,0,0,0,0
1.8e-10,0,0,0,0
1.9e-10,0,0,0,0
1.9999999999999998e-10,0,0,0,0
2.1e-10,0,0,0,0
2.2e-10,0,0,0,0
2.2999999999999998e-10,0,0,0,0
2.4e-10,0,0,0,0
2.4999999999999996e-10,0,0,0,0
2.6e-10,0,0,0,0
2.7e-10,0,0,0,0
2.7999999999999996e-10,0,0,0,0
2.9e-10,0,0,0,0
3e-10,0,0,0,0
3.0999999999999996e-10,0,0,0,0
3.2e-10,0,0,0,0
3.3e-10,0,0,0,0
3.3999999999999996e-10,0,0,0,0
3.5e-10,0,0,0,0
3.6e-10,0,0,0,0
3.6999999999999996e-10,0,0,0,0
3.8e-10,0,0,0,0
3.9e-10,0,0,0,0
3.9999999999999996e-10,0,0,0,0
4.1e-10,0,0,0,0
4.2e-10,0,0,0,0
4.2999999999999996e-10,0,0,0,0
4.4e-10,0,0,0,0
4.5e-10,0,0,0,0
4.5999999999999996e-10,0,0,0,0
4.699999999999999e-10,0,0,0,0
4.8e-10,0,0,0,0
4.9e-10,0,0,0,0
4.999999999999999e-10,0,0,0,0
5.1e-10,0,0,0,0
5.2e-10,0,0,0,0
5.299999999999999e-10,0,0,0,0
5.4e-10,0,0,0,0
5.5e-10,0,0,0,0
5.599999999999999e-10,0,0,0,0
5.7e-10,0,0,0,0
5.8e-10,0,0,0,0
5.899999999999999e-10,0,0,0,0
6e-10,0,0,0,0
6.1e-10,0,0,0,0
6.199999999999999e-10,0,0,0,0
6.3e-10,0,0,0,0
6.4e-10,0,0,0,0
6.499999999999999e-10,0,0,0,0
6.6e-10,0,0,0,0
6.7e-10,0,0,0,0
6.799999999999999e-10,0,0,0,0
6.9e-10,0,0,0,0
7e-10,0,0,0,0
7.099999999999999e-10,0,0,0,0
7.2e-10,0,0,0,0
7.3e-10,0,0,0,0
7.399999999999999e-10,0,0,0,0
7.5e-10,0,0,0,0
7.6e-10,0,0,0,0
7.699999999999999e-10,0,0,0,0
7.8e-10,0,0,0,0
7.9e-10,0,0,0,0
7.999999999999999e-10,0,0,0,0
8.1e-10,0,0,0,0
8.2e-10,0,0,0,0
8.299999999999999e-10,0,0,0,0
8.4e-10,0,0,0,0
8.5e-10,0,0,0,0
8.599999999999999e-10,0,0,0,0
8.7e-10,0,0,0,0
8.8e-10,0,0,0,0
8.899999999999999e-10,0,0,0,0
9e-10,0,0,0,0
9.1e-10,0,0,0,0
9.199999999999999e-10,0,0,0,0
9.3e-10,0,0,0,0
9.399999999999999e-10,0,0,0,0
9.5e-10,0,0,0,0
9.6e-10,0,0,0,0
9.7e-10,0,0,0,0
9.8e-10,0,0,0,0
9.899999999999999e-10,0,0,0,0
9.999999999999999e-10,0,0,0,0
1.01e-09,0,0,0,0
1.02e-09,0,0,0,0
1.03e-09,0,0,0,0
